episode,total_reward
164,-198.07794354013345
165,-208.89906594304222
166,-206.88268586186393
167,-217.89789358288544
168,-205.788771821921
169,-198.78826374957993
170,-192.7402327583959
171,-202.23785186062213
172,-197.20815746846384
173,-204.52669838446928
174,-193.6602696772822
175,-200.13119677871862
176,-188.89729668933396
177,-201.9525447366658
178,-200.43855696887982
179,-216.64689322329207
180,-201.52699818708265
181,-191.63855571946266
182,-198.1131873503554
183,-209.03924248570212
184,-198.41617465091633
185,-194.2851299203314
186,-196.2687945280022
187,-208.45361208846236
188,-211.73436494603277
189,-198.2900999014013
190,-200.00038679113183
191,-199.32427737292224
192,-202.3210869867142
193,-206.86596222525358
194,-200.4818333135932
195,-208.77121319774375
196,-194.87303725122138
197,-201.6963025779212
198,-202.09336149416686
199,-199.80683895188207
200,-202.94686236856853
201,-210.53969498326057
202,-199.04679794430837
203,-190.18020198665772
204,-193.8260966582827
205,-197.25312584268133
206,-194.7830677780788
207,-205.8162704244211
208,-200.78996391151247
209,-203.76493044452963
210,-394.04643069968625
211,-204.21440449465914
212,-189.98631884157618
213,-199.06873744383256
214,-195.47606865995616
215,-203.6091897455197
216,-197.54587860663761
217,-241.787980117605
218,-195.0283452008439
219,-201.88009293837723
220,-203.8511121168255
221,-204.76277912814794
222,-196.33442418827124
223,-192.5699292363156
224,-202.68850498322962
225,-191.75743401723042
226,-184.70743249629675
227,-203.91198384314998
228,-296.92286201128576
229,-204.86655334345676
230,-204.2674003383237
231,-191.47050120555673
232,-201.7194963544884
233,-198.79414181546917
234,-191.63078605097996
235,-207.56517610911322
236,-211.40771198618495
237,-200.7106523522862
238,-193.21572080838658
239,-206.13321051959804
240,-205.48733454813697
241,-202.8256136798314
242,-197.65098747698937
243,-206.75683528826173
244,-201.81043713221158
245,-203.37005842599055
246,-199.4741017615457
247,-204.01361065559706
248,-194.93685180853248
249,-202.36018595420305
250,-202.6752910443841
251,-207.11736488556244
252,-204.85324626005414
253,-201.97679444495563
254,-216.4543671569815
255,-213.3803011488235
256,-189.1491784938008
257,-210.92818144766545
258,-189.0880038656968
259,-199.77612834739074
260,-200.89123739695833
261,-202.14786324398685
262,-209.8237597604238
263,-204.21546955841444
264,-206.86054296363668
265,-207.6042254430398
266,-199.51191718755163
267,-207.20642899179057
268,-193.0448406957861
269,-219.16050192329413
270,-207.36848602101563
271,-208.97073070070567
272,-214.9967585151353
273,-203.2917557328246
274,-202.70648676003225
275,-196.25153633330808
276,-213.1768664688969
277,-178.14472986305282
278,-187.92650089752797
279,-195.65034358120147
280,-193.07691853715693
281,-194.6641733675983
282,-205.0488979933561
283,-206.73788513365744
284,-209.99231089453457
285,-194.1463260541554
286,-254.194572385051
287,-202.90057793591058
